age,d13,ref,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
12.3,-23.6911348832962,vogeli_2017,-6.005000000000001,NA,NA,NA,NA,NA
8.3,-25.5484506784552,vogeli_2017,-5.830000000000001,404.4255172413793,21.60752525080276,14.977525250802756,-26.857207462393053,-20.500478811746284
9.75,-24.06209776026154,vogeli_2017,-6.13,NA,NA,NA,NA,NA
10.3,-24.20234888936688,vogeli_2017,-5.824285714285711,NA,NA,NA,NA,NA
10.5,-25.6893076634861,vogeli_2017,-5.992500000000001,NA,NA,NA,NA,NA
10.55,-24.7523130369649,vogeli_2017,-6.182500000000001,NA,NA,NA,NA,NA
10.7,-24.984568470784,vogeli_2017,-5.98,NA,NA,NA,NA,NA
10.8,-25.114470162784727,vogeli_2017,-5.972000000000005,NA,NA,NA,NA,NA
11.2,-25.247530168946145,vogeli_2017,-5.986666666666669,NA,NA,NA,NA,NA
11.8,-24.360207382538,vogeli_2017,-5.97,NA,NA,NA,NA,NA
12.1,-23.892676743245687,vogeli_2017,-5.98,NA,NA,NA,NA,NA
12.5,-24.7230432889599,vogeli_2017,-5.986666666666666,NA,NA,NA,NA,NA
20.5,-23.876092305498705,vogeli_2017,-6.187727272727273,NA,NA,NA,NA,NA
20.1,-26.356661652058,vogeli_2017,-6.005000000000001,NA,NA,NA,NA,NA
19,-27.101386826646696,vogeli_2017,-6.195833333333333,NA,NA,NA,NA,NA
18.5,-26.5212801637625,vogeli_2017,-5.97090909090909,NA,NA,NA,NA,NA
17.4,-26.3368286345749,vogeli_2017,-5.818888888888889,NA,NA,NA,NA,NA
17.1,-25.862360872497,vogeli_2017,-5.464117647058822,NA,NA,NA,NA,NA
16.9,-26.96827836769,vogeli_2017,-5.544999999999999,NA,NA,NA,NA,NA
16.5,-23.1850662457827,vogeli_2017,-5.213333333333334,NA,NA,NA,NA,NA
15.7,-25.0497094198488,vogeli_2017,-4.924285714285713,NA,NA,NA,NA,NA
15.1,-23.836754803221705,vogeli_2017,-5.462307692307694,NA,NA,NA,NA,NA
14.9,-23.9927248124554,vogeli_2017,-5.565,NA,NA,NA,NA,NA
14.6,-24.5046326743696,vogeli_2017,-5.039615384615384,NA,NA,NA,NA,NA
14.2,-24.023885942693905,vogeli_2017,-5.42423076923077,NA,NA,NA,NA,NA
14.1,-24.590188040243095,vogeli_2017,-5.520384615384616,NA,NA,NA,NA,NA
13.5,-25.7442643066753,vogeli_2017,-5.277692307692307,NA,NA,NA,NA,NA
12.8,-25.4285356236982,vogeli_2017,-6.003333333333337,NA,NA,NA,NA,NA
20.3,-26.6869315318576,vogeli_2017,-6.29,NA,NA,NA,NA,NA
19.3,-25.6794671764928,vogeli_2017,-5.9688,NA,NA,NA,NA,NA
18.9,-26.335163660499905,vogeli_2017,-6.1931818181818175,NA,NA,NA,NA,NA
17.8,-24.5913298259007,vogeli_2017,-6.015000000000001,NA,NA,NA,NA,NA
17,-23.8893451221674,vogeli_2017,-5.534705882352941,NA,NA,NA,NA,NA
16.95,-23.5493468198792,vogeli_2017,-5.57,NA,NA,NA,NA,NA
16.6,-24.358865034974695,vogeli_2017,-5.097777777777774,NA,NA,NA,NA,NA
13.6,-24.869824379517496,vogeli_2017,-5.567499999999999,NA,NA,NA,NA,NA
13.4,-24.7364516761285,vogeli_2017,-5.6,NA,NA,NA,NA,NA
13.3,-24.6600632660701,vogeli_2017,-6.025000000000006,NA,NA,NA,NA,NA
13.2,-24.3869740831642,vogeli_2017,-5.76,NA,NA,NA,NA,NA
12.95,-24.0321934537739,vogeli_2017,-5.799999999999998,NA,NA,NA,NA,NA
12.5,-26.12,vogeli_2017,-5.986666666666666,NA,NA,NA,NA,NA
20,-25.77,vogeli_2017,-5.982272727272728,NA,NA,NA,NA,NA
0,-23.489112210564908,vogeli_2017,-6.206666666666667,NA,NA,NA,NA,NA
0,-26.39853748761284,vogeli_2017,-6.206666666666667,NA,NA,NA,NA,NA
0,-25.736493262260137,vogeli_2017,-6.206666666666667,NA,NA,NA,NA,NA
2.96,-20.2,ghosh_2004,-6.18,337.7280279813458,21.598149521481055,14.968149521481052,-27.190876896647087,-20.836269129678207
2.98,-18.4,ghosh_2004,-6.25,336.7769670579328,21.597988975262382,14.967988975262381,-27.259244121257474,-20.905081939268452
2.99,-20.7,ghosh_2004,-6.359999999999999,352.9299394168879,21.600598267940313,14.97059826794031,-27.36940279336734,-21.015976526158727
3.2,-18.9,ghosh_2004,-6.036666666666667,384.0862337662305,21.605011225834026,14.975011225834026,-27.05710875412912,-20.70167014961667
3.39,-18.4,ghosh_2004,-6.19396694214876,257.8737238081843,21.580544953877187,14.950544953877188,-27.187784686404658,-20.83304649783387
3.85,-24.3,ghosh_2004,-6.224380165289256,319.3480205259783,21.594877504271434,14.964877504271431,-27.231203172751204,-20.876838341109508
3.96,-22.8,ghosh_2004,-6.231652892561984,279.4312557730374,21.586289003633887,14.956289003633886,-27.230144135281087,-20.875718615425033
3.96,-23.5,ghosh_2004,-6.231652892561984,279.4312557730374,21.586289003633887,14.956289003633886,-27.230144135281087,-20.875718615425033
