"","depth_cm","d13o","n","d13o.se","age","d13o.low","d13o.high","d13a","co2","D13_wet","D13_dry","d13_wet","d13_dry"
"33",2075,-23.1727272727273,11,0.284946855999152,3.90068965517241,-23.4576741287265,-22.8877804167281,-6.22773154744942,319.41062830362,21.5948892889007,14.9648892889007,-27.2344949334237,-20.8801516781511
"34",2100,-23.4907692307692,13,0.178046599843907,3.95241379310345,-23.6688158306131,-23.3127226309253,-6.23115132516386,284.544896445556,21.5875238293154,14.9575238293154,-27.2308289848762,-20.87641566963
"35",2125,-23.5672727272727,11,0.132377496776803,4.00413793103448,-23.6996502240495,-23.4348952304959,-6.23457110287831,397.704368025087,21.6067229340594,14.9767229340594,-27.2524577334196,-20.8983058996869
"36",2150,-22.942,10,0.114550328579964,4.05586206896551,-23.05655032858,-22.82744967142,-6.23799088059276,296.857274648036,21.5903224541229,14.9603224541229,-27.2401888732314,-20.8858542208421
"37",2175,-23.188,10,0.27240819044629,4.10758620689655,-23.4604081904463,-22.9155918095537,-6.24141065830721,325.048367489509,21.5959318676224,14.9659318676224,-27.2488776213497,-20.8946348444487
"38",2200,-23.8136842105263,19,0.188450453454488,4.15931034482758,-24.0021346639808,-23.6252337570718,-6.24483043602166,349.906708862367,21.6001282312865,14.9701282312865,-27.256220802866,-20.9020522646099
"39",2225,-22.3235714285714,14,0.133006680584333,4.200625,-22.4565781091557,-22.1905647479871,-6.24756198347107,369.15999263216,21.6029900303847,14.9729900303847,-27.2616195191709,-20.9075041624708
"40",2250,-22.445,12,0.141964037272782,4.235,-22.5869640372728,-22.3030359627272,-6.2498347107438,376.985103710948,21.6040696056396,14.9740696056396,-27.2648721212863,-20.9107847697329
"41",2275,-22.9573333333333,15,0.241653956972848,4.269375,-23.1989872903061,-22.7156793763605,-6.25210743801653,362.684155386279,21.602061376366,14.972061376366,-27.2651846227245,-20.9110867402609
"42",2300,-23.106,10,0.509051841935355,4.35333333333333,-23.6150518419354,-22.5969481580646,-6.25765840220386,327.75517250845,21.596419688809,14.966419688809,-27.2652463871179,-20.9111135888813
"43",2335,-22.79875,8,0.149396852854594,4.49909090909091,-22.9481468528546,-22.6493531471454,-6.26729526671675,327.388513582488,21.5963540817608,14.9663540817608,-27.2746170609841,-20.9205450634742
"44",2368,-23.3057142857143,7,0.222248864616063,4.54109090909091,-23.5279631503304,-23.0834654210982,-6.27007212622089,341.922138036636,21.5988468649317,14.9688468649317,-27.2797087395668,-20.9256856077466
"45",2500,-23.5257142857143,14,0.136251683267006,4.725,-23.6619659689813,-23.3894626024473,-6.28223140495868,393.969749731855,21.6062652938124,14.9762652938124,-27.2986742996827,-20.9448214955226
"46",2590,-23.5514285714286,7,0.0923870886523645,4.82769230769231,-23.643815660081,-23.4590414827762,-6.28902097902098,421.278487115316,21.609424447041,14.979424447041,-27.3083281716615,-20.9545582046149
"47",2650,-23.6278571428572,14,0.157208402913536,4.86923076923077,-23.7850655457707,-23.4706487399437,-6.2917673235855,415.516714616599,21.6087924725418,14.9787924725418,-27.3104147122708,-20.9566544186712
"48",2728,-25.9145454545455,11,0.190718086268062,4.9764,-26.1052635408136,-25.7238273682774,-6.29885289256198,326.96402767662,21.5962779438263,14.9662779438263,-27.3054350712133,-20.9515639075895
"49",2850,-24.162,5,0.186397424874916,5.15647058823529,-24.3483974248749,-23.9756025751251,-6.31075838599903,324.479344363988,21.595828282806,14.965828282806,-27.3166607539041,-20.9628601041695
"50",2900,-23.7425,4,0.0877852493303975,5.23,-23.8302852493304,-23.6547147506696,-6.31561983471074,310.015854774157,21.5930676836222,14.9630676836222,-27.3187910149132,-20.9649869988824
"51",2950,-24.7736363636364,11,0.212098916577203,5.27486486486487,-24.9857352802136,-24.5615374470592,-6.31858610676792,375.557207479376,21.6038759645199,14.9738759645199,-27.3319852520386,-20.9783350838008
"52",2975,-24.06,8,0.221020361053003,5.2972972972973,-24.281020361053,-23.838979638947,-6.32006924279652,313.281793092178,21.5937133232018,14.9637133232018,-27.3237611018532,-20.9699935934762
"53",3000,-23.3675,8,0.135551123724066,5.31972972972973,-23.5030511237241,-23.2319488762759,-6.32155237882511,382.65476006621,21.6048242227624,14.9748242227624,-27.3357916284644,-20.9821722601796
"54",3130,-22.8033333333333,3,0.148473716342133,5.43637837837839,-22.9518070496754,-22.6548596169912,-6.32926468617378,339.352304328796,21.5984216306915,14.9684216306915,-27.3372449737018,-20.9835950192889
"55",3160,-23.47125,8,0.181092295923535,5.46329729729731,-23.6523422959235,-23.2901577040765,-6.33104444940809,363.663743584131,21.6022039752691,14.9722039752691,-27.3425882559601,-20.9889968821218
"56",3250,-23.672,5,0.318596924027838,5.54405405405407,-23.9905969240278,-23.3534030759722,-6.33638373911101,341.136037191325,21.5987174677936,14.9687174677936,-27.3444951811867,-20.990894438656
"57",3428,-23.47,2,0.140000000000001,5.70377297297299,-23.61,-23.33,-6.34694366763458,303.527165037353,21.591743717823,14.961743717823,-27.3481922277306,-20.994571980027
"58",3595,-23.88,7,0.0994508732514511,5.85362162162164,-23.9794508732515,-23.7805491267485,-6.41243243243242,282.969778299651,21.5871482311102,14.9571482311101,-27.4079217930885,-21.0546629488604
