"","age","d13C","co2","D13_wet","D13_dry","d13_wet","d13_dry","d13te_wet","d13te_dry"
"638",2.33,-6.47,282.086653510009,21.5869358085145,14.9569358085145,-27.4640706777534,-21.1111772850203,-13.5551989834196,-7.11144871185752
"639",2.33,-6.53,282.086653510009,21.5869358085145,14.9569358085145,-27.5228028305412,-21.1702930936651,-13.6147711030949,-7.17140997430283
"640",2.33,-6.68,282.086653510009,21.5869358085145,14.9569358085145,-27.6696332125109,-21.3180826152772,-13.7637014022831,-7.32131313041612
"641",2.34,-6.84,310.443010995207,21.5931528998239,14.9631528998239,-27.8321686271247,-21.4817186589786,-13.9285613420476,-7.48728944008383
"642",2.34,-6.31,310.443010995207,21.5931528998239,14.9631528998239,-27.3133711014213,-20.9595322145882,-13.4023441539925,-6.9576348662016
"643",2.35,-6.1,322.469116022097,21.5954594144182,14.9654594144182,-27.1100063720852,-20.7548534967602,-13.1960709728017,-6.75002890431097
"644",2.35,-5.82,322.469116022097,21.5954594144182,14.9654594144182,-26.8359252792028,-20.4789820398522,-12.9180700671496,-6.47021202946769
"645",2.35,-6.16,322.469116022097,21.5954594144182,14.9654594144182,-27.1687380348457,-20.8139688089548,-13.2556425954415,-6.80998966320601
"646",2.36,-5.9,324.382136752137,21.5958105508144,14.9658105508144,-26.9145686257166,-20.5581413027999,-12.9978381435405,-6.55050340075047
"647",2.36,-6.15,324.382136752137,21.5958105508144,14.9658105508144,-27.1592838031067,-20.8044550183962,-13.2460531525578,-6.80033980971314
"648",2.36,-6.4,324.382136752137,21.5958105508144,14.9658105508144,-27.4039989804969,-21.0507687339925,-13.4942681615751,-7.0501762186758
"649",2.37,-6.12,425.309563530553,21.6098564113146,14.9798564113146,-27.1432937312521,-20.788448438689,-13.2298343962391,-6.78410430945223
"650",2.38,-6.31,393.838648363252,21.6062490709589,14.9762490709589,-27.3258401623382,-20.9721647087239,-13.4149915430959,-6.97044802588891
"651",2.38,-6.35,393.838648363252,21.6062490709589,14.9762490709589,-27.3649941906504,-21.0115744979053,-13.4547055387467,-7.01042144021221
"652",2.39,-5.97,366.670036057693,21.6026368448144,14.9726368448144,-26.9895905221736,-20.6336960077244,-13.0739329771515,-6.62713866287095
"653",2.39,-6.05,366.670036057693,21.6026368448144,14.9726368448144,-27.0678988556829,-20.7125158666013,-13.153361249298,-6.70708577604353
"654",2.39,-6.11,366.670036057693,21.6026368448144,14.9726368448144,-27.1266301058149,-20.771630760759,-13.2129324534079,-6.76704611092293
"655",2.4,-6.34,350.742939521801,21.6002590548902,14.9702590548902,-27.3495027113037,-20.9959443291804,-13.4389925056331,-6.9945677342331
"656",2.4,-6.05,350.742939521801,21.6002590548902,14.9702590548902,-27.0656343416262,-20.7102216713854,-13.1510643489463,-6.70475877004299
"657",2.4,-6.13,350.742939521801,21.6002590548902,14.9702590548902,-27.1439428573993,-20.789041714915,-13.2304928059633,-6.78470607050917
"658",2.41,-6.15,284.216919831223,21.5874459641199,14.9574459641199,-27.1513183464611,-20.7963851568868,-13.2379737767127,-6.7921545358422
"659",2.41,-6.51,284.216919831223,21.5874459641199,14.9574459641199,-27.503711087212,-21.1510798304728,-13.5954063162714,-7.15192192968141
"660",2.41,-7.05,284.216919831223,21.5874459641199,14.9574459641199,-28.0323001983383,-21.683121840852,-14.1315551256095,-7.69157302044016
"661",2.41,-6.84,284.216919831223,21.5874459641199,14.9574459641199,-27.8267377662336,-21.4762166145934,-13.9230528108669,-7.48170870736737
"662",2.42,-6.84,407.86359408034,21.6079254381154,14.9779254381154,-27.8462262574124,-21.4959605438687,-13.94282001969,-7.50173500747405
"663",2.42,-6.92,407.86359408034,21.6079254381154,14.9779254381154,-27.9245341855402,-21.5747799920507,-14.0222478806575,-7.58168170407816
"664",2.43,-6.59,327.318834289814,21.5963415972788,14.9663415972788,-27.5904879937306,-21.2384792616424,-13.6834242760225,-7.24057131721509
"665",2.43,-6.8,327.318834289814,21.5963415972788,14.9663415972788,-27.7960486358837,-21.4453826744881,-13.8919247752142,-7.45043379094034
"666",2.44,-6.37,323.398461262554,21.5956305152936,14.9656305152936,-27.3744617537055,-21.0210374359786,-13.4643085036064,-7.0200197139452
"667",2.45,-6.07,319.478088235294,21.5949019816788,14.9649019816788,-27.0801096677506,-20.724758009473,-13.1657466961665,-6.71950300179833
"668",2.45,-6.04,319.478088235294,21.5949019816788,14.9649019816788,-27.0507438203469,-20.6952003371422,-13.135960868594,-6.68952260588514
"669",2.46,-6.27,323.379114448472,21.5956269633933,14.9656269633933,-27.2765722835184,-20.9225085059547,-13.3650190521537,-6.92008165732295
