age,d13,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
2.1608,-21,-6.323933333,194.7541136,21.55641415,14.92641415,-27.2920292,-20.9378209
2.1643,-22.2,-6.363016667,263.0185686,21.58200135,14.95200135,-27.35464993,-21.00101088
2.1679,-21.64,-6.403216667,299.5783175,21.59090991,14.96090991,-27.40248206,-21.04921123
2.1713,-22.74,-6.426233333,300.3795432,21.59108087,14.96108087,-27.42517503,-21.0720535
2.1748,-20.33,-6.425066667,301.2043343,21.5912559,14.9612559,-27.42419965,-21.07107285
2.1773,-20.14,-6.424233333,301.7934708,21.59138033,14.96138033,-27.4235024,-21.07037182
2.1798,-21.3,-6.4234,302.3826072,21.59150428,14.96150428,-27.42280468,-21.06967032
2.183,-19.98,-6.434333333,303.1367019,21.59166224,14.96166224,-27.43365731,-21.08059483
2.1861,-20.92,-6.4457,303.8672312,21.59181451,14.96181451,-27.4449287,-21.0919408
2.1894,-19.42,-6.4578,304.6448914,21.5919758,14.9619758,-27.45692651,-21.104018
2.1927,-20,-6.5005,305.4225515,21.59213627,14.96213627,-27.49887678,-21.1462433
2.1983,-20.67,-6.5845,306.7422173,21.59240672,14.96240672,-27.58135881,-21.22926582
2.204,-20.75,-6.602,291.3091315,21.58909063,14.95909063,-27.5953325,-21.24331003
2.2096,-20.78,-6.5908,247.0232754,21.57727453,14.94727453,-27.57312171,-21.22088021
2.2198,-20.64,-6.7223,240.3818126,21.57512707,14.94512707,-27.69980036,-21.34837292
2.2245,-20.55,-6.43475,238.7137023,21.57456892,14.94456892,-27.41779188,-21.06451877
2.2293,-21.26,-6.12515,237.0101003,21.57399079,14.94399079,-27.11417973,-20.75891969
2.2341,-21.57,-6.1743,235.3064984,21.57340429,14.94340429,-27.16173324,-20.80678017
2.2397,-20.88,-6.3031,233.3189627,21.57270922,14.94270922,-27.28715143,-20.93301329
2.2453,-21.08,-6.45045,231.3314271,21.5720022,14.9420022,-27.43071672,-21.07751197
2.25,-21.15,-6.575,229.6633168,21.57139936,14.94139936,-27.55206281,-21.19964697
2.2548,-21.29,-6.683,227.9597148,21.57077459,14.94077459,-27.65718763,-21.3054546
2.2589,-24.3,-6.77525,226.5045548,21.57023349,14.94023349,-27.74697477,-21.39582487
2.263,-21.69,-6.635,225.0493947,21.5696854,14.9396854,-27.60916441,-21.25711085
2.2689,-21.92,-6.3105,222.955384,21.56888412,14.93888412,-27.29075303,-20.93661446
2.2748,-21.98,-6.3124,220.8613732,21.56806764,14.93806764,-27.29183549,-20.93769888
2.2799,-21.2,-6.3787,219.0512961,21.5673493,14.9373493,-27.35605177,-21.00233016
2.285,-20.75,-6.495,217.241219,21.56661898,14.93661898,-27.46920119,-21.11621414
2.2898,-21.68,-6.6054,215.537617,21.56592042,14.93592042,-27.57660554,-21.22431573
2.2946,-21.35,-6.6284,213.834015,21.56521073,14.93521073,-27.59844446,-21.24629287
2.3003,-20.68,-6.6395,211.8109876,21.56435314,14.93435314,-27.60849383,-21.25640252
2.306,-22.98,-6.44,214.0313955,21.56529353,14.93529353,-27.41410041,-21.06074512
2.3103,-21.48,-6.3009,226.2246293,21.5701286,14.9401286,-27.28254069,-20.92835627
