age,d13o,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
1.401,-22.847,-6.146000000000005,309.64535331905887,21.592993579447594,14.962993579447595,-27.152685809106796,-20.797796287136517
1.413,-21.79,-6.612500000000004,271.45166666666546,21.584269176219216,14.954269176219217,-27.601021302879314,-21.249005823408915
1.432,-20.86,-6.13,230.8905802707931,21.571843727546263,14.941843727546262,-27.116882574275763,-20.761626745189986
1.466,-20.531,-6.671333333333333,253.67120133481617,21.579311471310227,14.949311471310224,-27.653892837704497,-21.302191705811815
1.5,-21.449,-6.905,211.7895795795803,21.564343981709992,14.93434398170999,-27.86838063547342,-21.517986962616327
1.601,-21.443,-6.211000000000003,267.3251295336785,21.58317734706239,14.953177347062386,-27.20696460491917,-20.85236818744922
1.701,-21.848,-6.777999999999996,289.7660805860806,21.588739656618312,14.958739656618311,-27.767279097215855,-21.41637763912679
1.8,-22.418,-6.22,214.8119123505975,21.565619481992865,14.935619481992864,-27.199055011348335,-20.84429699372494
1.9,-22.901,-6.779999999999999,182.52283927257437,21.54980768501893,14.91980768501893,-27.732184443574425,-21.38081011002741
1.915,-21.802,-6.381249999999998,186.44746872700517,21.552021932606056,14.922021932606055,-27.343954427069672,-20.990057829310413
1.999,-22.496,-5.934999999999995,285.36284193840646,21.587717238623018,14.957717238623015,-26.941119958859336,-20.584815390601143
2.185,-22.168,-6.441666666666666,303.60801114206134,21.59176056198986,14.96176056198986,-27.440929254592852,-21.087914895242292
2.233,-22.017,-6.149000000000001,235.69690715115664,21.57353944868404,14.94353944868404,-27.13709623258758,-20.781983064931357
2.373,-23.179,-6.183000000000003,415.96329776915593,21.608842081493798,14.978842081493799,-27.203995244274566,-20.849540112674283
2.402,-22.236,-6.266166666666675,337.43773558368457,21.598100613904997,14.968100613904996,-27.27517530017656,-20.92111788314144
2.535,-22.154,-6.1875,313.67171821305817,21.593789508632213,14.96378950863221,-27.194066559463426,-20.839452330483677
2.667,-22.045,-6.300500000000005,281.1554291623595,21.586710370818015,14.956710370818014,-27.297937696052692,-20.943957662048092
2.696,-21.775,-6.926,281.68121588089326,21.586837840375843,14.956837840375844,-27.91034181749218,-21.560362987393752
2.754,-21.908,-6.3893333333333295,270.88531082118175,21.584121295127463,14.954121295127463,-27.38242896042379,-21.02898464141963
