age,ob.am
4.529999999999999,23.834971679436165
4.54,23.84770911666731
4.55,23.860614823822086
4.56,23.873562160996816
4.57,23.886424488287833
4.58,23.89907516579147
4.59,23.911387553604044
4.6,23.923235011821898
4.609999999999999,23.934490900541345
4.619999999999999,23.94525636060627
4.63,23.95572085985439
4.64,23.965890248872782
4.65,23.975770378248523
4.66,23.985367098568688
4.67,23.994686260420355
4.68,24.00373371439061
4.6899999999999995,24.012553008537086
4.699999999999999,24.021164299032307
4.71,24.029538348635665
4.72,24.037645920106545
4.73,24.045457776204344
4.74,24.052944679688448
4.75,24.06007739331825
4.76,24.066826679853133
4.77,24.073252775284725
4.779999999999999,24.079419389690322
4.79,24.085302496957855
4.8,24.090878070975233
4.8100000000000005,24.096122085630387
4.82,24.101010514811232
4.83,24.105519332405702
