"","age","d13C","d18O","site","st","st.sd","d18sw","d18sw.se","d18sw.low","d18sw.high"
"81",4.92691884034782,-5.13747906919088,-9.31691101589927,"Shilou",28.8133531336438,2.3365550652205,-7.61206271149949,0.475678949160826,-8.08774166066032,-7.13638376233867
"82",4.98169855043478,-6.66394936577921,-6.67555897269497,"Shilou",28.7056685784171,2.3156554039521,-4.98316027934279,0.475275734550218,-5.45843601389301,-4.50788454479257
"83",5.05268589715384,-5.65219605801899,-9.02570688927347,"Shilou",28.226571176445,2.28641179327416,-7.41998713871084,0.472545846866673,-7.89253298557751,-6.94744129184417
"84",5.32490833357142,-6.62770610564707,-8.60263859098504,"Shilou",21.6087673425424,2.25790504118528,-8.18613149722563,0.484259827121842,-8.67039132434747,-7.70187167010378
"85",5.47011681533333,-6.9457413889261,-9.79487346894162,"Shilou",16.1816669409703,2.65916804469919,-10.4003379702017,0.555382189722708,-10.9557201599244,-9.84495578047895
"86",5.658324064,-5.42148443517022,-8.79989103723402,"Shilou",12.6551173546434,3.2028781812942,-10.0847569860442,0.671587149084803,-10.756344135129,-9.41316983695939
"87",5.69451776566666,-5.56279204255841,-9.24034568644147,"Shilou",13.427764686526,2.91770247340238,-10.3853685245187,0.6128417420348,-10.9982102665535,-9.77252678248393
"88",5.80974299721621,-7.20844139036828,-9.80085103578211,"Shilou",16.8492067371081,2.67098318487648,-10.288590440435,0.574506784246439,-10.8630972246815,-9.71408365618857
"89",5.90385601927027,-6.24691860242453,-9.46726951649934,"Shilou",17.8956882377985,2.47170392882301,-9.74377249707797,0.531373178557312,-10.2751456756353,-9.21239931852066
"90",5.91954152294594,-6.96462226375543,-9.32030959447122,"Shilou",17.8365712530497,2.33186498666633,-9.6021850878444,0.505408821081362,-10.1075939089258,-9.09677626676304
"91",5.92738427478378,-6.42322293472744,-9.2369400553255,"Shilou",17.8076656599314,2.27324674449847,-9.54296763971243,0.492458531165902,-10.0354261708783,-9.05050910854652
"92",5.96659803397297,-6.58136979756043,-9.87401484281041,"Shilou",17.8413667696394,2.13005250333173,-10.1612116187198,0.470157512222703,-10.6313691309425,-9.69105410649708
"93",5.97444078581081,-6.18246884747608,-9.08829721384594,"Shilou",17.8965219447972,2.1211185905982,-9.36925833746687,0.474233272854048,-9.84349161032092,-8.89502506461282
"94",6.00581179316216,-7.79158774004376,-9.58018089170195,"Shilou",18.0666491346798,2.05304130661831,-9.8133535520486,0.460342564850665,-10.2736961168993,-9.35301098719793
"95",6.019332911375,-7.08611663047281,-9.49307864885944,"Shilou",18.1180828412914,2.01616976578001,-9.72196927593091,0.45220516581326,-10.1741744417442,-9.26976411011765
"96",6.042046376875,-6.3000586386911,-9.35099618456097,"Shilou",18.1800535996061,1.95947922306214,-9.57461418340925,0.446765465851819,-10.0213796492611,-9.12784871755743
"97",6.06475984237499,-6.20337130209638,-9.16312744111537,"Shilou",18.21713901868,1.92349583750998,-9.38062018934385,0.438880038130053,-9.81950022747391,-8.9417401512138
"98",6.098830040625,-5.87216914213382,-9.27866558765324,"Shilou",18.2406279019098,1.92462980684862,-9.48809003131358,0.440138155335569,-9.92822818664915,-9.04795187597801
"99",6.149935338,-5.68609419022703,-9.3243091971583,"Shilou",18.247888119896,1.99638623038323,-9.54080106893615,0.451264437720964,-9.99206550665711,-9.08953663121519
"100",6.1726488035,-5.93131112936035,-9.14859115156293,"Shilou",18.2299139406558,2.01028001584246,-9.36590256108438,0.448264166514107,-9.81416672759848,-8.91763839457027
"101",6.18400553625,-5.18723701652724,-9.09929587859994,"Shilou",18.2055824650834,2.01398692897948,-9.31218968207855,0.453285822207372,-9.76547550428592,-8.85890385987117
