age,RH,RH.sd,d18p,d18p.sd,Dp17p,Dp17p.sd,f,f.sd,Tsoil,Tsoil.sd
-6,0.6368014988906945,0.006991456140018819,-27.753782986227343,0.5852036198067899,25.1473896527243,5.394421110942677,0.3413149556777708,0.031740907575827294,18.480628678640812,1.2002321271585812
-5.9,0.634980593264289,0.006983174032350287,-27.75338909847956,0.5579698579862756,25.147190095471007,5.395852630137393,0.3627550639355821,0.03054187538183399,18.883453497754015,1.313607590519974
-5.8,0.6330900888795801,0.007047816693886709,-27.67078937425063,0.4824990347701216,25.14709086732139,5.397778069451069,0.34110170880265195,0.03082215961260086,19.223178416786137,1.4195820312796943
-5.7,0.6312245468349188,0.007145499727737896,-27.677885628272687,0.4664464200733816,25.147176074723614,5.399734552400879,0.32539984545768474,0.026210477210235436,19.704230295826168,1.4059914925102166
-5.6,0.629486407538792,0.007260365485955804,-27.81112066791441,0.5261012828393501,25.147508109802235,5.401540597288942,0.34053832243770715,0.028139514995987557,20.415057629609745,1.4373570833994915
-5.5,0.6278036444913214,0.007428413843073572,-27.957932546659272,0.5760143985752201,25.147766386629982,5.403219021279806,0.3415389595859101,0.031875870427677214,21.201755969611114,1.4939982942160894
-5.4,0.626111339150864,0.007619849546406134,-27.987016813896226,0.5898498078106598,25.148103394654697,5.404912828266882,0.26985484916840363,0.04252183362507375,21.86788522983809,1.53545023744846
-5.3,0.624604424461094,0.007782367125521854,-28.08338666904266,0.6104233229955298,25.14896801591982,5.405735631865675,0.2531701199859318,0.051077407504243555,22.588777451408408,1.5561304134622236
-5.2,0.6232291092924017,0.007949666833469211,-28.193703317946426,0.6518606503237206,25.149912822001465,5.406480634847678,0.2650439860843428,0.055189321945996586,23.251516028837536,1.5408122570423235
-5.1,0.6219334810879998,0.008131009114966125,-28.246394001452455,0.6895800954836301,25.150085007683348,5.4072816225011,0.26832459849591905,0.04358512484667861,23.73027554259815,1.5205577906372398
-5,0.6206429792085476,0.008378792417018744,-28.087387404269727,0.6874531933091436,25.15049425616559,5.407951548624278,0.22241119396305795,0.03470775779904423,23.807278244529307,1.4301848791237461
-4.9,0.6196714385529056,0.0087776753359959,-28.036178235084137,0.7492783954622655,25.150624978799232,5.408708428427811,0.24237391319673843,0.03502410822044897,23.88962605881617,1.3865143733715564
-4.8,0.6190064168578849,0.009276313573823688,-28.04374720010748,0.89396207382684,25.151181357241928,5.409766292568688,0.297614374429879,0.034446786301529204,23.77910324926699,1.3955900647317263
-4.699999999999999,0.6185060637832654,0.009853963257479817,-28.108011798977348,0.9708814280008095,25.1515332709684,5.411082733695723,0.3216061777818034,0.04014219288823117,23.46694559226426,1.3325679616961084
-4.6,0.618139217844071,0.010479995499685838,-28.074516250881935,0.964903585128851,25.152378713969455,5.4126736225810905,0.2803147109462499,0.04443480681112364,22.934645058337054,1.2977886950649147
-4.5,0.6178919093868287,0.011142279270776299,-28.08740996707806,0.9186168721510144,25.153268596639165,5.4150001235427565,0.2709069755961119,0.06878317214829038,22.49080916399401,1.2716384540931016
-4.4,0.6176923644128388,0.011789176932062504,-28.14692988877125,0.8806856040925578,25.154360542718212,5.4173823575897595,0.2683361565754211,0.07680336496524821,22.1804608246712,1.3200232954295097
-4.3,0.6175476214236735,0.012360099365571513,-28.182538340937935,0.8978673263038106,25.15539378032872,5.420105087795543,0.28970677371864545,0.060254763262422684,21.99597543770406,1.3763095150214875
-4.199999999999999,0.6174437796355089,0.012897611692007455,-28.2040932466016,0.9405083819892673,25.156050784008066,5.422778267314689,0.30209697158695703,0.03952230353854658,21.896278993350435,1.4036252325161878
-4.1,0.6173513000950958,0.013460896172974397,-28.1312393435618,0.9121388528185639,25.156886039870745,5.425325155585581,0.31439707326958766,0.033268880825479775,21.846165243155287,1.3624782780101203
-4,0.6172588117673242,0.014046688381840268,-27.99773117039548,0.8501828636162895,25.157602395502924,5.427784350241837,0.31270969285047323,0.02548252518032564,21.800379002881236,1.3012424144862371
-3.9,0.6171861501218142,0.014630347275804237,-27.835919667132337,0.8899853794116916,25.158442580938345,5.430257968610654,0.3048756906461841,0.02746806325289305,21.745093948492215,1.2812063507867975
-3.8,0.6172164566980338,0.015232725188084202,-27.814043933880416,0.8885469029999508,25.159402249711885,5.432571614895444,0.3042899939445783,0.02609093162579705,21.66950919651948,1.2678110756103305
-3.6999999999999997,0.6173463718097827,0.015880092502662944,-27.846881338592073,0.8710401127883655,25.160580664779346,5.4340604942467,0.32446183206971896,0.025360996846397327,21.635277735113768,1.3014204547636055
