"","site","SID","age","n","d13","d13.se","d18","d18.se","temp","temp.sd","st.low","st.high","d18sw","d18sw.se","d18sw.low","d18sw.high"
"12","Jiaxian","4040",6.1823,5,-4.09126,0.0590605452057464,-9.56312,0.0905513798900933,16.4195404528397,2.79223074766202,13.6273097051777,19.2117712005017,-10.1139928274246,0.534325464756606,-10.6483182921812,-9.57966736266798
"13","Jiaxian","4040",6.1823,3,-4.64013333333333,0.0193655191857419,-9.6278,0.00571664237118259,15.527185448826,3.58626743079543,11.9409180180306,19.1134528796214,-10.3485513699437,0.689048627951722,-11.0375999978954,-9.65950274199197
"14","Jiaxian","4380",6.3627,3,-3.8277,0.00937869927015477,-9.51406666666667,0.019317033358613,20.1176167482775,3.76234149374073,16.3552752545368,23.8799582420182,-9.371069677762,0.70005937174767,-10.0711290495097,-8.67101030601433
"15","Jiaxian","4535",6.4946,3,-3.6628,0.0465223602152771,-9.6317,0.11669714363828,18.7892252263306,3.7107985745472,15.0784266517834,22.5000238008778,-9.73465000086388,0.704726937291408,-10.4393769381553,-9.02992306357248
"16","Jiaxian","4750",6.6567,3,-5.9445,0.0254147594912876,-9.07183333333333,0.013451187473396,11.5206678209734,3.43723725036341,8.08343057060999,14.9579050713368,-10.5783716169217,0.677816423924573,-11.2561880408463,-9.90055519299713
"17","Jiaxian","5025",6.8154,5,-5.39566,0.0500335187649238,-9.03008,0.0692525190877558,22.1288446844229,6.32920348145007,15.7996412029729,28.458048165873,-8.53513121006091,1.17165929552942,-9.70679050559033,-7.36347191453149
"18","Jiaxian","5225",6.9406,3,-7.12513333333333,0.0405079416081997,-9.55813333333333,0.0131318104023949,20.6847805434703,3.78449540240723,16.900285141063,24.4692759458775,-9.32874992240816,0.696867758315888,-10.025617680724,-8.63188216409227
"19","Lantian","LT2",2.797,6,-6.4054129496503,0.0138906845933128,-8.91022454191764,0.02044917385256,12.9684516855949,2.76635249156692,10.202099194028,15.7348041771618,-10.1351664108785,0.536186204277582,-10.6713526151561,-9.59898020660089
"20","Lantian","LT12",3.088,6,-7.69937413661525,0.0798219668952145,-9.05759799598561,0.0887694214858213,15.6821858070299,3.49593763423229,12.1862481727976,19.1781234412622,-9.74836684734985,0.672175612122613,-10.4205424594725,-9.07619123522723
"21","Lantian","LT23",3.684,4,-9.47883452066877,0.0751837877741498,-9.74007336325274,0.0422481756369626,23.9302538881055,3.81037020053662,20.1198836875689,27.7406240886422,-8.90335933177551,0.69786845141094,-9.60122778318645,-8.20549088036457
